Time,Frame,WT,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12
100.21,50105,8.7706,11.5327,10.1614,3.752,8.0844,6.9844,5.6296,7.4738,7.8025,7.7432,11.8733,3.9964,3.604
100.212,50106,8.6184,10.1403,10.248,3.9782,7.8365,7.8698,5.6435,7.3589,7.8316,8,11.1012,3.9158,3.4816
100.214,50107,8.465,10.5373,10.1602,3.7233,7.9366,7.7297,6.2628,7.6664,7.6242,7.602,11.0567,3.6227,3.6785
100.216,50108,8.5739,10.4077,10.6553,3.779,8.1627,7.9765,5.8009,8.1371,7.2536,8.0405,10.956,3.9508,4.7662
100.218,50109,8.8942,10.6597,10.0259,3.9057,7.3011,8.6477,5.6162,7.673,8.0546,7.6898,10.8687,3.632,4.6064
100.22,50110,8.3659,10.8056,9.9044,3.6409,7.8975,8.0482,5.6741,7.5158,7.8044,7.0952,11.3868,3.7568,4.329
100.222,50111,8.611,11.4492,10.02,3.7938,7.6758,9.0027,6.1074,7.4662,8.149,7.7073,11.1413,3.7009,4.3078
100.224,50112,8.3409,11.4584,10.4646,3.9072,7.2183,7.6068,5.9841,7.3915,8.0855,7.3665,10.6601,4.152,4.6097
100.226,50113,8.6413,10.6942,10.477,3.7009,7.753,7.8723,5.7525,7.616,8.4366,7.3825,11.387,3.5745,4.4613
100.228,50114,8.9971,10.782,9.621,4.04,7.7701,8.3059,5.8011,7.7179,7.5831,8.228,11.2014,4.2916,4.7362
100.23,50115,8.1675,10.7305,10.267,3.9474,7.7626,8.2924,6.0188,7.7693,8.1436,7.8227,11.2792,4.0697,4.2735
100.232,50116,9.1886,9.8912,10.4467,4.3022,7.8194,8.0101,5.3228,8.1649,9.6466,7.6363,11.2537,3.6664,4.6246
100.234,50117,8.9638,10.7135,10.2649,4.2824,7.6871,8.6639,5.8293,7.6344,8.9068,7.6315,11.1544,4.0118,4.1094
100.236,50118,8.6994,11.781,10.7309,4.0629,8.0533,8.3661,5.8237,6.9942,9.2681,7.8113,11.2411,3.6958,4.2029
100.238,50119,8.6047,11.1169,10.7443,3.8772,7.6078,7.5706,5.3732,7.9239,8.7909,7.5544,10.9278,3.9482,4.3744
100.24,50120,8.4958,10.719,10.3316,3.3657,7.4873,8.0206,5.5631,7.595,8.7347,7.3282,11.1877,3.9407,3.7224
100.242,50121,9.0563,11.0525,10.4756,4.3152,8.0416,8.0259,5.8405,7.52,9.3171,6.9109,11.6699,4.0164,3.7893
100.244,50122,8.7217,10.5263,10.2828,3.8791,7.7928,7.79,5.7122,7.1299,8.5324,7.365,11.0946,3.8372,4.4093
100.246,50123,8.3608,10.9273,10.5163,4.3874,7.6966,8.2195,5.6316,7.5266,7.9736,7.7986,11.0036,3.8652,3.2798
100.248,50124,9.5321,10.8834,10.3476,4.6087,7.6822,7.7239,5.7199,7.4655,8.2822,8.2355,10.8889,3.5833,3.7543
100.25,50125,9.1037,10.4151,11.2627,3.7042,7.9571,7.6629,6.1148,7.4148,8.1528,8.3394,11.4864,3.2878,3.5082
100.252,50126,8.7812,10.6372,10.3583,3.7514,8.0138,7.6156,5.746,7.3341,8.3852,8.0797,10.7594,3.6924,3.5758
100.254,50127,8.5403,11.0041,10.7487,3.8019,7.7076,8.2876,6.2022,7.2874,8.5618,8.0139,10.7314,3.7348,4.134
100.256,50128,8.6206,10.7972,10.1988,3.5124,8.1681,8.8238,5.7757,7.7069,8.0461,7.9538,11.3584,3.4336,3.8941
